symbol,security_id,company_name,nse_industry,is_defence,fno_lot_size
OBEROIRLTY,20242,Oberoi Realty Ltd.,Realty,false,350
OFSS,10738,Oracle Financial Services Software Ltd.,Information Technology,false,100
OIL,17438,Oil India Ltd.,Oil Gas & Consumable Fuels,false,1400
ONGC,2475,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,false,2250
PAGEIND,14413,Page Industries Ltd.,Textiles,false,20
PATANJALI,17029,Patanjali Foods Ltd.,Fast Moving Consumer Goods,false,1075
PAYTM,6705,One 97 Communications Ltd.,Financial Services,false,725
PERSISTENT,18365,Persistent Systems Ltd.,Information Technology,false,125
PETRONET,11351,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,false,1900
PFC,14299,Power Finance Corporation Ltd.,Financial Services,false,1300
PGEL,25358,PG Electroplast Ltd.,Consumer Durables,false,950
PHOENIXLTD,14552,Phoenix Mills Ltd.,Realty,false,350
PIDILITIND,2664,Pidilite Industries Ltd.,Chemicals,false,500
PIIND,24184,PI Industries Ltd.,Chemicals,false,175
PNB,10666,Punjab National Bank,Financial Services,false,8000
PNBHOUSING,18908,PNB Housing Finance Ltd.,Financial Services,false,650
POLICYBZR,6656,PB Fintech Ltd.,Financial Services,false,350
POLYCAB,9590,Polycab India Ltd.,Capital Goods,false,125
POWERGRID,14977,Power Grid Corporation of India Ltd.,Power,false,1900
POWERINDIA,18457,Hitachi Energy India Ltd.,Capital Goods,false,25
PREMIERENE,25049,Premier Energies Ltd.,Capital Goods,false,650
PRESTIGE,20302,Prestige Estates Projects Ltd.,Realty,false,450
RADICO,10990,Radico Khaitan Ltd,Fast Moving Consumer Goods,false,150
RBLBANK,18391,RBL Bank Ltd.,Financial Services,false,3175
RECLTD,15355,REC Ltd.,Financial Services,false,1575
RELIANCE,2885,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,false,500
RVNL,9552,Rail Vikas Nigam Ltd.,Construction,false,1925
SAGILITY,27052,Sagility Ltd.,Information Technology,false,12000
SAIL,2963,Steel Authority of India Ltd.,Metals & Mining,false,4700
